,county,all pop,tindoor_07-02-2023,tindoor_08-02-2023,tindoor_09-02-2023,tindoor_10-02-2023,tindoor_11-02-2023,tindoor_12-02-2023,tindoor_13-02-2023,vulnerability_07-02-2023,vulnerability_08-02-2023,vulnerability_09-02-2023,vulnerability_10-02-2023,vulnerability_11-02-2023,vulnerability_12-02-2023,vulnerability_13-02-2023,toutdoor_07-02-2023,toutdoor_08-02-2023,toutdoor_09-02-2023,toutdoor_10-02-2023,toutdoor_11-02-2023,toutdoor_12-02-2023,toutdoor_13-02-2023,icaro_07-02-2023,icaro_08-02-2023,icaro_09-02-2023,icaro_10-02-2023,icaro_11-02-2023,icaro_12-02-2023,icaro_13-02-2023
271,arcos-de-valdevez,36058,16.8,16.9,17.3,16.9,15.3,14.6,14.7,0.2862,0.2862,0.2862,0.2862,0.2862,0.2862,0.2862,7.3,6.6,2.9,4.9,7.3,5.1,3.4,0.2862,0.2862,0.2862,0.2862,0.2862,0.2862,0.2862
272,caminha,27388,17.5,18.1,18.2,17.2,15.9,15.5,15.5,0.173,0.173,0.173,0.173,0.173,0.173,0.173,6.5,5.9,2.7,8.1,9.7,6.2,4.1,0.173,0.173,0.173,0.173,0.173,0.173,0.173
273,melgaco,14229,15.0,15.1,15.5,14.9,14.1,13.9,13.9,0.215,0.215,0.215,0.215,0.215,0.215,0.215,9.0,7.2,1.3,1.5,3.1,1.6,1.9,0.215,0.215,0.215,0.215,0.215,0.215,0.215
274,moncao,30961,15.3,15.9,16.6,15.9,15.0,15.0,15.0,0.1593,0.1593,0.1593,0.1593,0.1593,0.1593,0.1593,2.0,2.2,0.2,4.8,2.4,1.1,0.2,0.1593,0.1593,0.1593,0.1593,0.1593,0.1593,0.1593
275,paredes-de-coura,14797,16.4,16.8,17.0,16.4,15.3,14.5,14.5,0.1208,0.1208,0.1208,0.1208,0.1208,0.1208,0.1208,5.4,5.7,1.9,5.2,6.9,4.5,1.2,0.1208,0.1208,0.1208,0.1208,0.1208,0.1208,0.1208
276,ponte-da-barca,19553,17.3,17.5,18.1,17.5,16.0,15.5,15.5,0.3102,0.3102,0.3102,0.3102,0.3102,0.3102,0.3102,8.4,7.4,3.8,8.0,10.2,6.1,4.1,0.3102,0.3102,0.3102,0.3102,0.3102,0.3102,0.3102
277,ponte-de-lima,71640,17.3,17.8,18.4,17.5,16.2,15.6,15.9,0.1585,0.1585,0.1585,0.1585,0.1585,0.1585,0.1585,8.6,8.0,4.8,8.7,9.8,7.9,6.0,0.1585,0.1585,0.1585,0.1585,0.1585,0.1585,0.1585
278,valenca,23186,16.8,16.9,17.5,16.9,15.7,15.2,15.4,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,10.5,6.7,4.9,7.5,7.3,7.3,5.7,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
279,viana-do-castelo,147619,17.0,17.6,18.1,17.4,16.1,16.1,16.3,0.1517,0.1517,0.1517,0.1517,0.1517,0.1517,0.1517,6.8,6.1,4.4,5.6,7.9,6.1,3.6,0.1517,0.1517,0.1517,0.1517,0.1517,0.1517,0.1517
280,vila-nova-de-cerveira,15099,16.0,16.3,17.2,16.5,15.2,14.8,15.0,0.1242,0.1242,0.1242,0.1242,0.1242,0.1242,0.1242,5.3,4.4,2.8,5.4,5.2,4.9,1.8,0.1242,0.1242,0.1242,0.1242,0.1242,0.1242,0.1242
281,alijo,19183,14.8,15.0,15.5,15.3,14.3,14.1,14.3,0.1277,0.1277,0.1277,0.1277,0.1277,0.1277,0.1277,3.2,2.1,-0.3,2.5,2.6,1.3,0.4,0.1277,0.1277,0.1277,0.1277,0.1277,0.1277,0.1277
282,boticas,9092,15.6,15.9,17.0,16.4,15.5,14.8,14.8,0.2732,0.2732,0.2732,0.2732,0.2732,0.2732,0.2732,1.1,-0.4,-2.1,0.8,-1.1,-2.4,-3.0,0.2732,0.2732,0.2732,0.2732,0.2732,0.2732,0.2732
283,chaves,67359,15.6,15.9,16.5,15.8,15.0,15.0,14.9,0.2199,0.2199,0.2199,0.2199,0.2199,0.2199,0.2199,3.4,3.5,1.2,6.1,3.6,1.6,2.4,0.2199,0.2199,0.2199,0.2199,0.2199,0.2199,0.2199
284,mesao-frio,7358,12.3,12.5,13.9,13.4,12.4,11.8,11.7,0.0922,0.0922,0.0922,0.0922,0.0922,0.0922,0.0922,3.2,2.8,1.3,5.3,5.1,2.3,1.4,0.0922,0.0922,0.0922,0.0922,0.0922,0.0922,0.0922
285,mondim-de-basto,12252,16.9,16.8,17.6,16.9,15.4,14.9,14.9,0.1793,0.1793,0.1793,0.1793,0.1793,0.1793,0.1793,4.2,3.7,4.6,4.8,3.6,5.7,1.9,0.1793,0.1793,0.1793,0.1793,0.1793,0.1793,0.1793
286,montalegre,16590,14.0,14.1,14.5,14.3,13.3,13.1,13.1,0.244,0.244,0.244,0.244,0.244,0.244,0.244,2.4,1.1,-0.4,1.0,0.8,0.2,-0.4,0.244,0.244,0.244,0.244,0.244,0.244,0.244
287,murca,9568,17.1,17.2,17.8,17.1,15.7,14.9,14.8,0.1632,0.1632,0.1632,0.1632,0.1632,0.1632,0.1632,1.2,1.4,-0.2,4.1,1.9,0.1,-0.2,0.1632,0.1632,0.1632,0.1632,0.1632,0.1632,0.1632
288,peso-da-regua,28587,16.3,16.5,17.2,17.0,16.3,16.0,16.0,0.0904,0.0904,0.0904,0.0904,0.0904,0.0904,0.0904,6.3,4.4,3.3,6.2,6.5,4.8,3.4,0.0904,0.0904,0.0904,0.0904,0.0904,0.0904,0.0904
289,ribeira-de-pena,10519,14.9,15.6,16.6,15.9,14.7,14.3,14.6,0.1756,0.1756,0.1756,0.1756,0.1756,0.1756,0.1756,7.4,5.4,1.9,3.5,4.8,3.8,1.3,0.1756,0.1756,0.1756,0.1756,0.1756,0.1756,0.1756
290,sabrosa,10240,14.0,14.2,14.9,14.7,13.9,13.9,14.1,0.1094,0.1094,0.1094,0.1094,0.1094,0.1094,0.1094,0.5,1.7,-0.7,2.7,1.1,-0.2,-0.4,0.1094,0.1094,0.1094,0.1094,0.1094,0.1094,0.1094
291,santa-marta-de-penaguiao,11988,16.5,16.7,17.4,17.0,16.2,15.7,15.3,0.0947,0.0947,0.0947,0.0947,0.0947,0.0947,0.0947,2.6,2.4,1.0,4.0,2.9,1.5,1.4,0.0947,0.0947,0.0947,0.0947,0.0947,0.0947,0.0947
292,valpacos,26672,15.2,15.4,16.0,15.7,15.2,15.0,15.1,0.1876,0.1876,0.1876,0.1876,0.1876,0.1876,0.1876,1.5,2.1,0.0,4.8,2.3,-0.2,0.4,0.1876,0.1876,0.1876,0.1876,0.1876,0.1876,0.1876
293,vila-pouca-de-aguiar,21378,13.7,14.0,15.0,15.0,13.9,13.7,13.7,0.2258,0.2258,0.2258,0.2258,0.2258,0.2258,0.2258,3.1,-0.8,-0.5,1.7,1.3,0.1,-1.3,0.2258,0.2258,0.2258,0.2258,0.2258,0.2258,0.2258
294,vila-real,86645,16.2,16.5,17.1,16.8,15.8,15.5,15.5,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,6.4,5.0,2.5,4.4,5.3,4.2,3.7,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321
295,armamar,10169,17.2,17.2,17.4,17.0,15.6,14.4,14.5,0.1143,0.1143,0.1143,0.1143,0.1143,0.1143,0.1143,1.3,0.7,-0.4,2.5,2.2,0.1,-0.4,0.1143,0.1143,0.1143,0.1143,0.1143,0.1143,0.1143
296,carregal-do-sal,15808,15.6,15.8,16.8,16.3,15.4,14.7,14.7,0.1354,0.1354,0.1354,0.1354,0.1354,0.1354,0.1354,5.1,1.6,0.6,3.1,4.5,3.9,0.1,0.1354,0.1354,0.1354,0.1354,0.1354,0.1354,0.1354
297,castro-daire,24481,16.1,16.4,16.8,16.3,15.1,14.4,14.7,0.2,0.2,0.2,0.2,0.2,0.2,0.2,7.1,4.0,2.1,3.3,4.6,3.9,2.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2
